S. No.,Name,Home Country,Team,Matches,No. of balls,No. of Overs,Wickets taken,Runs Conceded,Economy rate,Dot Balls,Maiden overs,Bowling Strike Rate,Bowling Average,CBR,log10(CBR),RAA,Wins,EF Score,Salary,Value
21,Kyle Jamieson,New Zealand,RCB,9,168,28,9,269,9.6,70,0,18.66,29.88,15.68837147,1.195577864,9,0.033,0.073,"$2,142,900","$627,548"
22,Navdeep Saini,India,RCB,2,24,4,0,52,13,5,0,0,0,-,-,-74,-0.281,0.002,"$468,750","$161,233"
23,Trent Boult,New Zealand,MI,14,308,51.33333333,13,406,7.9,146,1,23.69,31.23,14.93914722,1.174325807,-64,-0.243,0.098,"$460,000","$217,666"
24,Kagiso Rabada,South Africa,DC,15,336,56,15,456,8.14,142,1,22.4,30.4,14.9709775,1.175250158,-56,-0.211,0.093,"$656,250","$265,188"
25,Mohammad Shami,India,PBKS,14,316,52.66666667,19,395,7.5,151,1,16.63,20.78,12.41779319,1.094044423,104,0.394,0.134,"$685,700","$1,163,662"
26,Chetan Sakariya,India,RR,14,312,52,14,426,8.19,132,1,22.28,30.42,15.01076758,1.176402901,-135,-0.511,0.1,"$171,400","-$180,336"
27,Nathan Coulter-Nile,Australia,MI,5,120,20,7,127,6.35,54,0,17.14,18.14,11.07214684,1.044231837,4,0.015,0.047,"$714,300","$600,816"
28,Lungisani Ngidi,South Africa,CSK,3,72,12,5,125,10.41,28,2,14.4,25,14.59811934,1.16429691,4,0.015,0.024,"$78,130","$600,816"
29,Ishant Sharma,India,DC,3,72,12,1,97,8.08,26,2,72,97,20.27567573,1.306975337,-72,-0.272,0.007,"$157,100","$174,598"
30,Piyush Chawla,India,MI,1,24,4,1,38,9.5,3,0,24,38,17.3164557,1.238459006,-38,-0.144,0.002,"$342,900","$364,689"
31,Mayank Markande,India,RR,1,18,3,0,26,8.66,4,0,0,0,-,-,-26,-0.099,0.001,"$290,000","$431,517"
32,Shahbaz Nadeem,India,SRH,1,24,4,1,36,9,9,0,24,36,16.61538462,1.220510399,-36,-0.136,0.006,"$500,000","$376,569"
33,Jason Holder,West Indies,SRH,8,191,31.83333333,16,247,7.75,87,0,11.93,15.43,10.80445005,1.033602666,106,0.402,0.139,"$105,000","$1,175,543"
